NAME,S1903_C03_001E,state,county,tract
Census Tract 2518; Cook County; Illinois,30341,17,031,251800
Census Tract 2519; Cook County; Illinois,26300,17,031,251900
Census Tract 2520; Cook County; Illinois,29596,17,031,252000
Census Tract 2521.01; Cook County; Illinois,35574,17,031,252101
Census Tract 2521.02; Cook County; Illinois,47255,17,031,252102
Census Tract 2522.01; Cook County; Illinois,47979,17,031,252201
Census Tract 2522.02; Cook County; Illinois,41167,17,031,252202
Census Tract 2601; Cook County; Illinois,18906,17,031,260100
Census Tract 2602; Cook County; Illinois,45857,17,031,260200
Census Tract 2603; Cook County; Illinois,20739,17,031,260300
Census Tract 2604; Cook County; Illinois,-666666666,17,031,260400
Census Tract 2605; Cook County; Illinois,39102,17,031,260500
Census Tract 2606; Cook County; Illinois,47708,17,031,260600
Census Tract 2607; Cook County; Illinois,42917,17,031,260700
Census Tract 2608; Cook County; Illinois,39696,17,031,260800
Census Tract 2609; Cook County; Illinois,19417,17,031,260900
Census Tract 2610; Cook County; Illinois,45086,17,031,261000
Census Tract 2705; Cook County; Illinois,19717,17,031,270500
Census Tract 2712; Cook County; Illinois,32401,17,031,271200
Census Tract 2713; Cook County; Illinois,23900,17,031,271300
Census Tract 2714; Cook County; Illinois,40670,17,031,271400
Census Tract 2715; Cook County; Illinois,42171,17,031,271500
Census Tract 2718; Cook County; Illinois,58167,17,031,271800
Census Tract 2801; Cook County; Illinois,136378,17,031,280100
Census Tract 2804; Cook County; Illinois,44414,17,031,280400
Census Tract 2808; Cook County; Illinois,21103,17,031,280800
Census Tract 2809; Cook County; Illinois,47784,17,031,280900
Census Tract 2819; Cook County; Illinois,135243,17,031,281900
Census Tract 2827; Cook County; Illinois,79330,17,031,282700
Census Tract 2828; Cook County; Illinois,81286,17,031,282800
Census Tract 2831; Cook County; Illinois,44129,17,031,283100
Census Tract 2832; Cook County; Illinois,57055,17,031,283200
Census Tract 2838; Cook County; Illinois,77422,17,031,283800
Census Tract 2909; Cook County; Illinois,34349,17,031,290900
Census Tract 2912; Cook County; Illinois,24120,17,031,291200
Census Tract 2916; Cook County; Illinois,120207,17,031,291600
Census Tract 2922; Cook County; Illinois,33736,17,031,292200
Census Tract 2924; Cook County; Illinois,41875,17,031,292400
Census Tract 2925; Cook County; Illinois,52500,17,031,292500
Census Tract 3005; Cook County; Illinois,50329,17,031,300500
Census Tract 3006; Cook County; Illinois,48915,17,031,300600
Census Tract 3007; Cook County; Illinois,46554,17,031,300700
Census Tract 3008; Cook County; Illinois,29684,17,031,300800
Census Tract 3009; Cook County; Illinois,32766,17,031,300900
Census Tract 3011; Cook County; Illinois,34608,17,031,301100
Census Tract 3012; Cook County; Illinois,50040,17,031,301200
Census Tract 3016; Cook County; Illinois,28442,17,031,301600
Census Tract 3017.01; Cook County; Illinois,52115,17,031,301701
Census Tract 3017.02; Cook County; Illinois,43632,17,031,301702
Census Tract 3018.01; Cook County; Illinois,35779,17,031,301801
Census Tract 3018.02; Cook County; Illinois,33668,17,031,301802
Census Tract 3018.03; Cook County; Illinois,36020,17,031,301803
Census Tract 3102; Cook County; Illinois,133382,17,031,310200
Census Tract 3103; Cook County; Illinois,66683,17,031,310300
Census Tract 3104; Cook County; Illinois,77991,17,031,310400
Census Tract 3105; Cook County; Illinois,58321,17,031,310500
Census Tract 3106; Cook County; Illinois,73508,17,031,310600
Census Tract 3107; Cook County; Illinois,62647,17,031,310700
Census Tract 3108; Cook County; Illinois,63779,17,031,310800
Census Tract 3109; Cook County; Illinois,78287,17,031,310900
Census Tract 3201.01; Cook County; Illinois,119616,17,031,320101
Census Tract 3201.02; Cook County; Illinois,162021,17,031,320102
Census Tract 3204; Cook County; Illinois,162143,17,031,320400
Census Tract 3206; Cook County; Illinois,108320,17,031,320600
Census Tract 3301.01; Cook County; Illinois,177254,17,031,330101
Census Tract 3301.02; Cook County; Illinois,112762,17,031,330102
Census Tract 3301.03; Cook County; Illinois,125175,17,031,330103
