NAME,B25060_001E,state,county,tract
"Census Tract 8305, Cook County, Illinois",253000,17,031,830500
"Census Tract 8306, Cook County, Illinois",1588200,17,031,830600
"Census Tract 8307, Cook County, Illinois",1404000,17,031,830700
"Census Tract 8308, Cook County, Illinois",1599200,17,031,830800
"Census Tract 8309, Cook County, Illinois",1187000,17,031,830900
"Census Tract 8310, Cook County, Illinois",704000,17,031,831000
"Census Tract 8311, Cook County, Illinois",1670200,17,031,831100
"Census Tract 8312, Cook County, Illinois",630800,17,031,831200
"Census Tract 8313, Cook County, Illinois",132800,17,031,831300
"Census Tract 8314, Cook County, Illinois",445400,17,031,831400
"Census Tract 8315, Cook County, Illinois",602400,17,031,831500
"Census Tract 8316, Cook County, Illinois",1025400,17,031,831600
"Census Tract 8317, Cook County, Illinois",384300,17,031,831700
"Census Tract 8318, Cook County, Illinois",1275000,17,031,831800
"Census Tract 8319, Cook County, Illinois",1434800,17,031,831900
"Census Tract 8320, Cook County, Illinois",934300,17,031,832000
"Census Tract 8321, Cook County, Illinois",1845600,17,031,832100
"Census Tract 8322, Cook County, Illinois",1336900,17,031,832200
"Census Tract 8323, Cook County, Illinois",999900,17,031,832300
"Census Tract 8324, Cook County, Illinois",1196200,17,031,832400
"Census Tract 8325, Cook County, Illinois",1218700,17,031,832500
"Census Tract 8326, Cook County, Illinois",1420500,17,031,832600
"Census Tract 8329, Cook County, Illinois",798500,17,031,832900
"Census Tract 5205, Cook County, Illinois",220000,17,031,520500
"Census Tract 5206, Cook County, Illinois",87400,17,031,520600
"Census Tract 5301, Cook County, Illinois",352300,17,031,530100
"Census Tract 5302, Cook County, Illinois",455200,17,031,530200
"Census Tract 5303, Cook County, Illinois",365700,17,031,530300
"Census Tract 5304, Cook County, Illinois",86700,17,031,530400
"Census Tract 5305.01, Cook County, Illinois",652100,17,031,530501
"Census Tract 5305.02, Cook County, Illinois",63500,17,031,530502
"Census Tract 5305.03, Cook County, Illinois",414100,17,031,530503
"Census Tract 5306, Cook County, Illinois",409900,17,031,530600
"Census Tract 5401.01, Cook County, Illinois",668700,17,031,540101
"Census Tract 5401.02, Cook County, Illinois",466200,17,031,540102
"Census Tract 5501, Cook County, Illinois",383100,17,031,550100
"Census Tract 5502, Cook County, Illinois",160600,17,031,550200
"Census Tract 5601, Cook County, Illinois",46800,17,031,560100
"Census Tract 5602, Cook County, Illinois",52100,17,031,560200
"Census Tract 5603, Cook County, Illinois",58500,17,031,560300
"Census Tract 5604, Cook County, Illinois",43500,17,031,560400
"Census Tract 5607, Cook County, Illinois",323200,17,031,560700
"Census Tract 5608, Cook County, Illinois",349200,17,031,560800
"Census Tract 5609, Cook County, Illinois",113600,17,031,560900
"Census Tract 5610, Cook County, Illinois",153000,17,031,561000
"Census Tract 5611, Cook County, Illinois",143100,17,031,561100
"Census Tract 5701, Cook County, Illinois",95000,17,031,570100
"Census Tract 5702, Cook County, Illinois",153100,17,031,570200
"Census Tract 5703, Cook County, Illinois",436000,17,031,570300
"Census Tract 5704, Cook County, Illinois",210200,17,031,570400
"Census Tract 5705, Cook County, Illinois",218700,17,031,570500
"Census Tract 5801, Cook County, Illinois",233100,17,031,580100
"Census Tract 5802, Cook County, Illinois",289200,17,031,580200
"Census Tract 5803, Cook County, Illinois",202100,17,031,580300
"Census Tract 5804, Cook County, Illinois",437300,17,031,580400
"Census Tract 5805.01, Cook County, Illinois",529900,17,031,580501
"Census Tract 5805.02, Cook County, Illinois",527600,17,031,580502
"Census Tract 5806, Cook County, Illinois",511300,17,031,580600
"Census Tract 5807, Cook County, Illinois",554000,17,031,580700
"Census Tract 5808, Cook County, Illinois",167700,17,031,580800
"Census Tract 5905, Cook County, Illinois",182300,17,031,590500
"Census Tract 5906, Cook County, Illinois",384100,17,031,590600
"Census Tract 5907, Cook County, Illinois",390300,17,031,590700
"Census Tract 6004, Cook County, Illinois",806900,17,031,600400
"Census Tract 6006, Cook County, Illinois",387300,17,031,600600
"Census Tract 6007, Cook County, Illinois",710500,17,031,600700
"Census Tract 6009, Cook County, Illinois",813700,17,031,600900
"Census Tract 6103, Cook County, Illinois",745900,17,031,610300
"Census Tract 6104, Cook County, Illinois",252600,17,031,610400
"Census Tract 6108, Cook County, Illinois",173900,17,031,610800
"Census Tract 8330, Cook County, Illinois",4047400,17,031,833000
"Census Tract 8331, Cook County, Illinois",3081400,17,031,833100
"Census Tract 8333, Cook County, Illinois",1222100,17,031,833300
